Gem Type,Gem,12.2 - Shared,14.3 - UC shared,15.4 - UC shared,Package
Source/Target,Avro,Supported,Supported,Supported,ProphecySparkBasicPython
,Csv (Only File Path),Supported,Supported,Supported,ProphecySparkBasicPython
,Csv (SFTP - Source),Not Supported,Not Supported,Not Supported,ProphecySparkBasicPython
,Csv (Sharepoint - Source),Not Supported,Not Supported,Not Supported,ProphecySparkBasicPython
,Delta,Supported,Supported,Supported,ProphecySparkBasicPython
,Json,Supported,Supported,Supported,ProphecySparkBasicPython
,ORC,Supported,Supported,Supported,ProphecySparkBasicPython
,Parque,Supported,Supported,Supported,ProphecySparkBasicPython
,Text,Supported,Supported,Supported,ProphecySparkBasicPython
,Fixed Format,Not Supported,Not Supported,Not Supported,ProphecySparkBasicPython
,Xlsx,Not Supported,Not Supported,Not Supported,ProphecySparkBasicPython
,Xml,Not Supported,Supported,Supported,ProphecySparkBasicPython
,Seed,Not Supported,Not Supported,Not Supported,ProphecySparkBasicPython
,Createdata,Not Supported,Pending,Pending,ProphecySparkAbinitioPython
,Mtime,Not Supported,Pending,Pending,ProphecySparkAbinitioPython
Warehouse,JDBC,Not Supported,Supported,Supported,ProphecySparkBasicPython
,synapse,Supported,Not Supported,Not Supported,ProphecyWarehousePython 
,Data Generator,Not Supported,Not Supported,Supported,ProphecySparkBasicPython
,Kafka (Source),Supported,Supported,Supported,ProphecySparkBasicPython
,Kafka (Target),Supported,Supported,Supported,ProphecySparkBasicPython
,Bigquery (Source),Not Supported,Not Supported,Not Supported,ProphecyWarehousePython 
,Bigquery (Target),Not Supported,Not Supported,Not Supported,ProphecyWarehousePython 
,Cosmodb,TBD,TBD,TBD,ProphecyWarehousePython 
,mongodb (Driver mongodb+srv),Not Supported,Not Supported,Not Supported,ProphecyWarehousePython 
,mongodb (Driver mongodb),Not Supported,Not Supported,Not Supported,ProphecyWarehousePython 
,Redshift,Not Supported,Not Supported,Not Supported,ProphecyWarehousePython 
,,Supported,Supported,Supported,ProphecyWarehousePython 
Catalog table,Catalog Table,Supported,Supported,Supported,ProphecySparkBasicPython
,Iceberg,Pending,Pending,Pending,ProphecySparkBasicPython
Application,Salesforce,Pending,Pending,Pending,ProphecyWebAppPython
Lookup,Lookup,Supported,Supported,Supported,
Transform,Aggregate,Supported,Supported,Supported,ProphecySparkBasicPython
,BulkColumnExpressions,Supported,Supported,Supported,ProphecySparkBasicPython
,SampleRows,Supported,Supported,Supported,ProphecySparkBasicPython
,Unpivot,Supported,Supported,Supported,ProphecySparkBasicPython
,ColumnParser,Not Supported,Supported,Supported,ProphecySparkBasicPython
,DynamicSelect,Not Supported,Not Supported,Not Supported,ProphecySparkBasicPython
,Deduplicate,Supported,Supported,Supported,ProphecySparkBasicPython
,Filter,Supported,Supported,Supported,ProphecySparkBasicPython
,FlattenSchema,Supported,Supported,Supported,ProphecySparkBasicPython
,Limit,Supported,Supported,Supported,ProphecySparkBasicPython
,OrderBy,Supported,Supported,Supported,ProphecySparkBasicPython
,Reformat,Supported,Supported,Supported,ProphecySparkBasicPython
,DataCleansing,Supported,Supported,Supported,ProphecySparkBasicPython
,SchemaTransform,Supported,Supported,Supported,ProphecySparkBasicPython
,SetOperation,Supported,Supported,Supported,ProphecySparkBasicPython
,WindowFunction,Supported,Supported,Supported,ProphecySparkBasicPython
,BulkColumnRename,Not Supported,Not Supported,Not Supported,ProphecySparkBasicPython
,Normalize,Not Supported,Supported,Supported,ProphecySparkAbinitioPython
,MetaPivot,Not Supported,Supported,Supported,ProphecySparkAbinitioPython
,ReadRaw,Not Supported,Pending,Pending,ProphecySparkAbinitioPython
,ReadSeparated Values,Not Supported,Supported,Supported,ProphecySparkAbinitioPython
,WriteSeparated Values,Not Supported,Supported,Supported,ProphecySparkAbinitioPython
,SyncDataFrameColumnsWithSchema,Not Supported,Supported,Supported,ProphecySparkAbinitioPython
,Sequence,Not Supported,Supported,Supported,ProphecySparkAbinitioPython
,DynamicReplace,Not Supported,Pending,Pending,ProphecySparkAlteryxPython
,FuzzyMatch,Not Supported,Pending,Pending,ProphecySparkAlteryxPython
,AssignKeys,Not Supported,Supported,Supported,ProphecySparkAbinitioPython
,RoundRobinPartition,Not Supported,Supported,Supported,ProphecySparkAbinitioPython
,CompareRecords,Not Supported,Supported,Supported,ProphecySparkAbinitioPython
Join/Split,Join,Supported,Supported,Supported,ProphecySparkBasicPython
,Repartition,Supported,Supported,Supported,ProphecySparkBasicPython
,RowDistributor,Supported,Supported,Supported,ProphecySparkBasicPython
,CompareColumns,Supported,Supported,Supported,ProphecySparkBasicPython
Custom,Script,Supported,Supported,Supported,
,DeltaTableOperations,Supported,Supported,Supported,ProphecySparkBasicPython
,FileOperation (DBFS Copy),Supported,Supported,Supported,ProphecySparkBasicPython
,FileOperation,TBD,TBD,TBD,ProphecySparkBasicPython
,Directory,Not Supported,Not Supported,Not Supported,ProphecySparkBasicPython
,RestAPlEnrich,Not Supported,Not Supported,Supported,ProphecySparkBasicPython
,Email,Not Supported,Not Supported,Not Supported,ProphecyWebAppPython
,EmailData,Not Supported,Not Supported,Not Supported,ProphecyWebAppPython
,Tableau,Not Supported,Not Supported,Not Supported,ProphecyWebAppPython
,ReadMultipleFiles,Not Supported,Pending,Pending,ProphecySparkAbinitioPython
,WriteMultipleFiles,Not Supported,Pending,Pending,ProphecySparkAbinitioPython
,Display,Not Supported,Pending,Pending,ProphecySparkAbinitioPython
,Trash,Not Supported,Pending,Pending,ProphecySparkAbinitioPython
,Todo,Not Supported,Pending,Pending,ProphecySparkAbinitioPython
,Assertions,Not Supported,Supported,Supported,ProphecySparkAbinitioPython
,Log,Not Supported,Supported,Supported,ProphecySparkAbinitioPython
Subgraph,Basic,Supported,Supported,Supported,
,Published subgraph,Supported,Supported,Supported,
,WhileIterator,Not Supported,Supported,Supported,ProphecySparkAlteryxPython
,Table Iterator,Supported,Supported,Supported,ProphecySparkBasicPython
Streaming,Catalog,Pending,Pending,Pending,ProphecyStreamingPython
,SplunkHEC,Pending,Pending,Pending,ProphecyStreamingPython
,Watermark,Pending,Pending,Pending,ProphecyStreamingPython
,csv,Not Supported,Not Supported,Not Supported,ProphecyStreamingPython
,delta,Not Supported,Not Supported,Not Supported,ProphecyStreamingPython
,json,Not Supported,Not Supported,Not Supported,ProphecyStreamingPython
,Kafka,Not Supported,Not Supported,Not Supported,ProphecyStreamingPython
,orc,Not Supported,Not Supported,Not Supported,ProphecyStreamingPython
,parquet,Not Supported,Not Supported,Not Supported,ProphecyStreamingPython
User Defined Custom Gems,CustomAVROBatch,Supported,Supported,Supported,
,ComplexCategoryReformat1,Supported,Supported,Supported,
,CustomLimit,Supported,Supported,Supported,
,CustomOrderByMainTransformCategory,Supported,Supported,Supported,
,CustomReformatGem,Supported,Supported,Supported,
,CustomSetOperation,Supported,Supported,Supported,
,CustomSQLStatementMainCustomCategory,Supported,Supported,Supported,
,DepAvro,Not Supported,Supported,Supported,
,DepDedup,Not Supported,Supported,Supported,
,DepLimit,Not Supported,Supported,Supported,
,DepReformat,Not Supported,Supported,Supported,
,DepReformatScala,Not Supported,Supported,Supported,
,SQLStatement,Supported,Supported,Supported,
,CustomParquetStreamingSource,Pending,Pending,Pending,